year,rank,team,player,stan_id,player_id
2021,1,BUF,Owen Power,235,2021_504240
2021,2,SEA,Matthew Beniers,4,2021_201739
2021,3,ANA,Mason McTavish,190,2021_479812
2021,4,NJ,Luke Hughes,302,2021_526979
2021,5,CBJ,Kent Johnson,281,2021_521697
2021,6,DET,Simon Edvinsson,56,2021_394730
2021,7,SJ,William Eklund,53,2021_394719
2021,8,LA,Brandt Clarke,35,2021_336887
2021,9,ARI,Dylan Guenther,167,2021_476538
2021,10,OTT,Tyler Boucher,179,2021_478374
2021,12,CBJ,Cole Sillinger,11,2021_201844
2021,13,CGY,Matthew Coronato,115,2021_462501
2021,14,BUF,Isak Rosen,94,2021_420269
2021,15,DET,Sebastian Cossa,171,2021_476602
2021,16,NYR,Brennan Othmann,320,2021_529248
2021,17,STL,Zachary Bolduc,322,2021_529393
2021,18,WPG,Chaz Lucius,249,2021_512106
2021,19,NSH,Fyodor Svechkov,510,2021_693396
2021,20,MIN,Jesper Wallstedt,54,2021_394724
2021,21,BOS,Fabian Lysell,139,2021_472769
2021,22,EDM,Xavier Bourgault,40,2021_341629
2021,23,DAL,Wyatt Johnston,14,2021_201871
2021,24,FLA,Mackie Samoskevich,124,2021_470025
2021,25,CBJ,Corson Ceulemans,162,2021_475841
2021,26,MIN,Carson Lambos,141,2021_472875
2021,27,NSH,Zachary L'Heureux,92,2021_419758
2021,28,COL,Oskar Olausson,108,2021_430916
2021,29,NJ,Chase Stillman,234,2021_503174
2021,30,VGK,Zach Dean,217,2021_492218
2021,31,MTL,Logan Mailloux,437,2021_582695
2021,32,CHI,Nolan Allan,193,2021_482413
2021,33,BUF,Prokhor Poltapov,350,2021_539226
2021,34,ANA,Olen Zellweger,170,2021_476596
2021,35,SEA,Ryker Evans,43,2021_351173
2021,36,DET,Shai Buium,264,2021_512185
2021,37,ARI,Josh Doan,9,2021_201817
2021,38,VGK,Daniil Chayka,275,2021_514651
2021,39,OTT,Zack Ostapchuk,164,2021_476029
2021,40,CAR,Scott Morrow,15,2021_201892
2021,41,VAN,Danila Klimovich,478,2021_618501
2021,42,LA,Francesco Pinelli,468,2021_617488
2021,43,ARI,Ilya Fedotov,518,2021_700155
2021,44,CAR,Aleksi Heimosalmi,455,2021_601642
2021,45,CGY,William Stromgren,213,2021_486944
2021,46,PHI,Samu Tuomaala,227,2021_499422
2021,47,DAL,Logan Stankoven,383,2021_556512
2021,48,DAL,Artyom Grushnikov,347,2021_539222
2021,49,OTT,Benjamin Roger,232,2021_502982
2021,50,WPG,Nikita Chibrikov,311,2021_527467
2021,51,CAR,Ville Koivunen,298,2021_525660
2021,52,NYI,Aatu Raty,121,2021_467384
2021,53,BUF,Alexander Kisakov,334,2021_537762
2021,54,MIN,Jack Peart,464,2021_616254
2021,55,WSH,Vincent Iorio,6,2021_201802
2021,56,FLA,Evan Nause,240,2021_507089
2021,57,TOR,Matthew Knies,24,2021_292083
2021,58,PIT,Tristan Broz,123,2021_470024
2021,59,LA,Samuel Helenius,380,2021_554237
2021,60,ARI,Janis Moser,38,2021_338571
2021,61,COL,Sean Behrens,116,2021_464775
2021,62,CHI,Colton Dach,80,2021_413126
2021,63,MTL,Riley Kidney,147,2021_473664
2021,64,MTL,Oliver Kapanen,494,2021_639018
2021,65,NYR,Jayden Grubbe,153,2021_475192
2021,66,ANA,Sasha Pastujov,256,2021_512165
2021,67,SEA,Ryan Winterton,502,2021_651883
2021,68,NJ,Samu Salminen,381,2021_554239
2021,69,CBJ,Stanislav Svozil,106,2021_428002
2021,70,DET,Carter Mazur,5,2021_201766
2021,71,STL,Simon Robertsson,143,2021_473175
2021,72,NSH,Anton Olsson,96,2021_420461
2021,73,DAL,Ayrton Martino,439,2021_582779
2021,74,OTT,Oliver Johansson,111,2021_448922
2021,75,NYR,Ryder Korczak,10,2021_201839
2021,76,ANA,Tyson Hinds,207,2021_485317
2021,77,CGY,Cole Huckins,216,2021_492143
